Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
2021-2022,EreDivisie,Sparta R'dam,Benjamin van Leer,nl NED,GK,29.0,1.7,4.0,1.0,0.0,1.0,0.0,4.5,0.29,0.5,0.29,12.0,44.0,27.3,62.0,6.0,50.0,39.6,16.0,81.3,54.6,23.0,0.0,0.0,2.0,1.15,17.2,Matches
2021-2022,EreDivisie,Sparta R'dam,Squad Total,,,27.1,34.0,48.0,5.0,2.0,7.0,2.0,49.3,0.27,3.3,0.1,275.0,724.0,38.0,785.0,133.0,62.0,45.4,303.0,78.2,56.8,600.0,23.0,3.8,22.0,0.65,12.9,
2021-2022,EreDivisie,Sparta R'dam,Opponent Total,,,25.0,34.0,30.0,1.0,1.0,4.0,0.0,30.0,0.28,0.0,0.0,159.0,462.0,34.4,987.0,211.0,34.0,33.2,228.0,55.3,43.4,397.0,25.0,6.3,55.0,1.62,17.4,
2021-2022,EreDivisie,Fortuna Sittard,Yanick van Osch,nl NED,GK,24.0,32.0,63.0,1.0,1.0,8.0,1.0,60.6,0.31,-1.4,-0.04,246.0,607.0,40.5,895.0,103.0,47.7,37.7,283.0,63.6,46.0,550.0,15.0,2.7,25.0,0.78,13.0,Matches
2021-2022,EreDivisie,Fortuna Sittard,Michael Verrips,nl NED,GK,24.0,2.0,4.0,0.0,0.0,0.0,0.0,4.5,0.45,0.5,0.27,12.0,31.0,38.7,63.0,8.0,41.3,34.3,12.0,41.7,35.7,23.0,0.0,0.0,7.0,3.5,20.9,Matches
2021-2022,EreDivisie,Fortuna Sittard,Squad Total,,,26.3,34.0,67.0,1.0,1.0,8.0,1.0,65.2,0.32,-0.8,-0.02,258.0,638.0,40.4,958.0,111.0,47.3,37.5,295.0,62.7,45.6,573.0,15.0,2.6,32.0,0.94,13.7,
2021-2022,EreDivisie,Fortuna Sittard,Opponent Total,,,25.3,34.0,36.0,3.0,3.0,8.0,1.0,33.5,0.25,-1.5,-0.04,197.0,595.0,33.1,1029.0,176.0,42.9,36.5,229.0,67.2,48.9,408.0,24.0,5.9,49.0,1.44,17.1,
2021-2022,EreDivisie,Heracles Almelo,Janis Blaswich,de GER,GK,30.0,22.0,29.0,2.0,0.0,3.0,2.0,29.1,0.27,2.1,0.1,108.0,312.0,34.6,653.0,96.0,33.5,33.4,156.0,59.6,46.5,233.0,11.0,4.7,29.0,1.32,17.1,Matches
2021-2022,EreDivisie,Heracles Almelo,Koen Bucker,nl NED,GK,25.0,12.0,20.0,0.0,1.0,4.0,0.0,19.2,0.26,-0.8,-0.07,71.0,194.0,36.6,315.0,77.0,39.4,38.8,96.0,72.9,55.1,179.0,11.0,6.1,6.0,0.5,11.4,Matches
2021-2022,EreDivisie,Heracles Almelo,Squad Total,,,23.9,34.0,49.0,2.0,1.0,7.0,2.0,48.3,0.26,1.3,0.04,179.0,506.0,35.4,968.0,173.0,35.4,35.1,252.0,64.7,49.7,412.0,22.0,5.3,35.0,1.03,15.3,
