Season,League,Team,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 30_level_0_Matches
2017-2018,EPL,Manchester City,Ederson,br BRA,GK,23.0,35.5,26.0,0.0,1.0,1.0,2.0,23.9,0.28,-0.1,0.0,110.0,230.0,47.8,935.0,167.0,15.5,26.2,160.0,53.1,46.1,265.0,19.0,7.2,87.0,2.45,18.8,Matches
2017-2018,EPL,Manchester City,Claudio Bravo,cl CHI,GK,34.0,2.5,1.0,0.0,0.0,0.0,0.0,1.6,0.31,0.6,0.22,4.0,9.0,44.4,61.0,16.0,6.6,25.3,10.0,50.0,39.5,21.0,2.0,9.5,3.0,1.19,15.4,Matches
2017-2018,EPL,Manchester City,Squad Total,,,26.4,38.0,27.0,0.0,1.0,1.0,2.0,25.5,0.28,0.5,0.01,114.0,239.0,47.7,996.0,183.0,15.0,26.2,170.0,52.9,45.7,286.0,21.0,7.3,90.0,2.37,18.6,
2017-2018,EPL,Manchester City,Opponent Total,,,26.9,38.0,106.0,6.0,1.0,10.0,3.0,90.2,0.33,-12.8,-0.34,311.0,936.0,33.2,875.0,105.0,65.6,45.7,407.0,88.9,61.2,492.0,17.0,3.5,24.0,0.63,12.2,
2017-2018,EPL,Manchester Utd,David de Gea,es ESP,GK,26.0,37.0,28.0,1.0,1.0,5.0,2.0,38.5,0.28,12.5,0.34,232.0,613.0,37.8,799.0,147.0,48.6,39.6,290.0,77.6,55.8,483.0,16.0,3.3,21.0,0.57,12.8,Matches
2017-2018,EPL,Manchester Utd,Sergio Romero,ar ARG,GK,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.31,0.9,0.93,6.0,14.0,42.9,18.0,5.0,44.4,37.4,7.0,85.7,58.3,18.0,1.0,5.6,0.0,0.0,4.0,Matches
2017-2018,EPL,Manchester Utd,Squad Total,,,26.7,38.0,28.0,1.0,1.0,5.0,2.0,39.4,0.28,13.4,0.35,238.0,627.0,38.0,817.0,152.0,48.5,39.6,297.0,77.8,55.8,501.0,17.0,3.4,21.0,0.55,12.7,
2017-2018,EPL,Manchester Utd,Opponent Total,,,26.9,38.0,68.0,1.0,2.0,6.0,1.0,55.9,0.31,-11.1,-0.29,241.0,701.0,34.4,871.0,147.0,55.2,41.7,276.0,79.7,57.3,556.0,30.0,5.4,47.0,1.24,14.2,
2017-2018,EPL,Tottenham,Hugo Lloris,fr FRA,GK,30.0,36.0,35.0,2.0,1.0,7.0,0.0,33.7,0.27,-1.3,-0.04,154.0,386.0,39.9,938.0,169.0,29.9,33.4,227.0,46.7,41.5,428.0,17.0,4.0,75.0,2.08,15.6,Matches
2017-2018,EPL,Tottenham,Paulo Gazzaniga,ar ARG,GK,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.7,0.74,3.0,7.0,42.9,17.0,3.0,29.4,32.9,8.0,25.0,30.9,10.0,2.0,20.0,1.0,1.0,12.3,Matches
2017-2018,EPL,Tottenham,Michel Vorm,nl NED,GK,33.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.13,0.5,0.53,2.0,4.0,50.0,17.0,2.0,5.9,26.5,9.0,33.3,32.4,14.0,0.0,0.0,2.0,2.0,17.0,Matches
2017-2018,EPL,Tottenham,Squad Total,,,25.8,38.0,36.0,2.0,1.0,7.0,1.0,35.0,0.27,0.0,0.0,159.0,397.0,40.1,972.0,174.0,29.4,33.3,244.0,45.5,40.8,452.0,19.0,4.2,78.0,2.05,15.5,
2017-2018,EPL,Tottenham,Opponent Total,,,26.9,38.0,74.0,2.0,0.0,5.0,4.0,71.5,0.33,1.5,0.04,303.0,929.0,32.6,945.0,146.0,64.9,46.5,345.0,91.6,60.9,635.0,23.0,3.6,28.0,0.74,13.1,
2017-2018,EPL,Liverpool,Loris Karius,de GER,GK,24.0,19.0,14.0,2.0,0.0,2.0,0.0,13.3,0.23,-0.7,-0.04,66.0,227.0,29.1,524.0,106.0,33.0,32.6,103.0,52.4,45.8,199.0,10.0,5.0,33.0,1.74,17.5,Matches
2017-2018,EPL,Liverpool,Simon Mignolet,be BEL,GK,29.0,19.0,24.0,2.0,0.0,3.0,0.0,23.0,0.34,-1.0,-0.05,64.0,208.0,30.8,499.0,102.0,33.5,32.0,101.0,40.6,39.7,194.0,15.0,7.7,34.0,1.79,17.4,Matches
2017-2018,EPL,Liverpool,Squad Total,,,25.6,38.0,38.0,4.0,0.0,5.0,0.0,36.4,0.3,-1.6,-0.04,130.0,435.0,29.9,1023.0,208.0,33.2,32.3,204.0,46.6,42.8,393.0,25.0,6.4,67.0,1.76,17.4,
2017-2018,EPL,Liverpool,Opponent Total,,,27.1,38.0,84.0,2.0,2.0,7.0,2.0,75.1,0.32,-6.9,-0.18,358.0,986.0,36.3,1021.0,171.0,61.3,40.1,395.0,91.1,62.4,555.0,38.0,6.8,52.0,1.37,14.1,
2017-2018,EPL,Chelsea,Thibaut Courtois,be BEL,GK,25.0,35.0,34.0,2.0,0.0,2.0,2.0,31.6,0.29,-0.4,-0.01,153.0,430.0,35.6,949.0,214.0,32.0,33.8,248.0,50.8,45.3,446.0,26.0,5.8,24.0,0.69,13.2,Matches
2017-2018,EPL,Chelsea,Willy Caballero,ar ARG,GK,35.0,3.0,4.0,0.0,0.0,0.0,0.0,3.5,0.36,-0.5,-0.18,16.0,38.0,42.1,85.0,12.0,31.8,29.2,15.0,73.3,51.7,33.0,1.0,3.0,5.0,1.67,17.7,Matches
2017-2018,EPL,Chelsea,Squad Total,,,26.7,38.0,38.0,2.0,0.0,2.0,2.0,35.1,0.29,-0.9,-0.02,169.0,468.0,36.1,1034.0,226.0,32.0,33.4,263.0,52.1,45.7,479.0,27.0,5.6,29.0,0.76,13.8,
2017-2018,EPL,Chelsea,Opponent Total,,,26.9,38.0,62.0,3.0,2.0,5.0,2.0,59.9,0.27,-0.1,0.0,274.0,756.0,36.2,953.0,173.0,52.3,41.3,310.0,83.2,58.8,544.0,26.0,4.8,37.0,0.97,13.6,
2017-2018,EPL,Arsenal,Petr Čech,cz CZE,GK,35.0,33.8,48.0,5.0,0.0,6.0,0.0,45.9,0.3,-2.1,-0.06,149.0,414.0,36.0,809.0,223.0,34.4,34.4,225.0,60.4,47.2,426.0,33.0,7.7,52.0,1.54,14.4,Matches
2017-2018,EPL,Arsenal,David Ospina,co COL,GK,28.0,4.2,3.0,0.0,0.0,0.0,0.0,2.5,0.21,-0.5,-0.12,15.0,46.0,32.6,116.0,27.0,22.4,29.3,28.0,71.4,47.5,82.0,6.0,7.3,7.0,1.65,13.1,Matches
2017-2018,EPL,Arsenal,Squad Total,,,26.8,38.0,51.0,5.0,0.0,6.0,0.0,48.4,0.29,-2.6,-0.07,164.0,460.0,35.7,925.0,250.0,32.9,33.7,253.0,61.7,47.3,508.0,39.0,7.7,59.0,1.55,14.3,
2017-2018,EPL,Arsenal,Opponent Total,,,27.0,38.0,74.0,4.0,0.0,10.0,1.0,78.7,0.33,5.7,0.15,310.0,817.0,37.9,879.0,129.0,62.1,45.1,311.0,87.1,60.6,455.0,16.0,3.5,46.0,1.21,14.8,
2017-2018,EPL,Burnley,Nick Pope,eng ENG,GK,25.0,34.6,35.0,3.0,0.0,3.0,1.0,42.5,0.27,8.5,0.25,351.0,997.0,35.2,920.0,118.0,77.8,52.1,297.0,94.6,66.7,600.0,57.0,9.5,38.0,1.1,12.5,Matches
2017-2018,EPL,Burnley,Tom Heaton,eng ENG,GK,31.0,3.4,4.0,0.0,0.0,1.0,0.0,4.8,0.41,0.8,0.23,31.0,77.0,40.3,84.0,22.0,61.9,47.2,32.0,78.1,60.7,62.0,2.0,3.2,2.0,0.59,11.2,Matches
2017-2018,EPL,Burnley,Squad Total,,,27.5,38.0,39.0,3.0,0.0,4.0,1.0,47.3,0.28,9.3,0.25,382.0,1074.0,35.6,1004.0,140.0,76.5,43.6,329.0,93.0,66.1,662.0,59.0,8.9,40.0,1.05,12.5,
2017-2018,EPL,Burnley,Opponent Total,,,27.0,38.0,36.0,0.0,1.0,3.0,1.0,33.0,0.27,-2.0,-0.05,285.0,833.0,34.2,1058.0,149.0,55.7,42.0,279.0,87.5,59.9,561.0,41.0,7.3,57.0,1.5,14.7,
2017-2018,EPL,Everton,Jordan Pickford,eng ENG,GK,23.0,38.0,58.0,3.0,0.0,6.0,0.0,56.1,0.3,-1.9,-0.05,322.0,945.0,34.1,984.0,162.0,64.0,47.8,340.0,92.6,67.2,591.0,27.0,4.6,51.0,1.34,14.9,Matches
2017-2018,EPL,Everton,Squad Total,,,26.7,38.0,58.0,3.0,0.0,6.0,0.0,56.1,0.3,-1.9,-0.05,322.0,945.0,34.1,984.0,162.0,64.0,43.4,340.0,92.6,67.2,591.0,27.0,4.6,51.0,1.34,14.9,
2017-2018,EPL,Everton,Opponent Total,,,27.0,38.0,44.0,5.0,0.0,3.0,2.0,41.4,0.29,-0.6,-0.02,273.0,689.0,39.6,910.0,141.0,52.4,41.1,268.0,79.1,56.2,504.0,25.0,5.0,51.0,1.34,14.6,
2017-2018,EPL,Leicester City,Kasper Schmeichel,dk DEN,GK,30.0,32.9,47.0,1.0,3.0,11.0,1.0,39.5,0.27,-6.5,-0.2,304.0,792.0,38.4,866.0,107.0,61.7,43.8,273.0,94.5,63.9,500.0,28.0,5.6,54.0,1.64,16.3,Matches
2017-2018,EPL,Leicester City,Ben Hamer,eng ENG,GK,29.0,3.1,7.0,1.0,0.0,0.0,0.0,6.4,0.43,-0.6,-0.21,18.0,47.0,38.3,66.0,15.0,47.0,39.1,20.0,80.0,56.3,39.0,0.0,0.0,4.0,1.31,14.3,Matches
2017-2018,EPL,Leicester City,Eldin Jakupović,ch SUI,GK,32.0,2.0,6.0,0.0,0.0,0.0,1.0,4.6,0.39,-0.4,-0.18,16.0,36.0,44.4,41.0,12.0,56.1,45.4,14.0,92.9,61.8,24.0,0.0,0.0,8.0,4.0,20.1,Matches
2017-2018,EPL,Leicester City,Squad Total,,,27.2,38.0,60.0,2.0,3.0,11.0,2.0,50.5,0.29,-7.5,-0.2,338.0,875.0,38.6,973.0,134.0,60.4,43.5,307.0,93.5,63.3,563.0,28.0,5.0,66.0,1.74,16.4,
2017-2018,EPL,Leicester City,Opponent Total,,,26.8,38.0,56.0,5.0,1.0,8.0,3.0,47.0,0.29,-6.0,-0.16,235.0,665.0,35.3,838.0,141.0,53.1,41.5,275.0,80.0,55.7,568.0,45.0,7.9,47.0,1.24,13.2,
2017-2018,EPL,Newcastle Utd,Rob Elliot,ie IRL,GK,31.0,16.0,21.0,1.0,0.0,3.0,1.0,18.8,0.27,-1.2,-0.07,154.0,371.0,41.5,378.0,46.0,63.5,44.1,159.0,82.4,55.8,258.0,15.0,5.8,15.0,0.94,13.2,Matches
2017-2018,EPL,Newcastle Utd,Martin Dúbravka,sk SVK,GK,28.0,12.0,11.0,0.0,0.0,0.0,0.0,14.2,0.36,3.2,0.26,61.0,198.0,30.8,255.0,32.0,48.2,38.5,93.0,80.6,56.0,184.0,13.0,7.1,13.0,1.08,12.9,Matches
2017-2018,EPL,Newcastle Utd,Karl Darlow,eng ENG,GK,26.0,10.0,15.0,3.0,0.0,0.0,2.0,15.8,0.28,2.8,0.28,78.0,232.0,33.6,247.0,37.0,62.3,43.2,87.0,89.7,57.9,159.0,11.0,6.9,4.0,0.4,11.7,Matches
2017-2018,EPL,Newcastle Utd,Squad Total,,,25.6,38.0,47.0,4.0,0.0,3.0,3.0,48.8,0.3,4.8,0.13,293.0,801.0,36.6,880.0,115.0,58.8,42.2,339.0,83.8,56.4,601.0,39.0,6.5,32.0,0.84,12.7,
2017-2018,EPL,Newcastle Utd,Opponent Total,,,26.9,38.0,39.0,0.0,1.0,8.0,1.0,42.8,0.29,4.8,0.13,284.0,708.0,40.1,976.0,175.0,49.2,39.5,287.0,79.4,56.0,479.0,24.0,5.0,51.0,1.34,16.7,
2017-2018,EPL,Crystal Palace,Wayne Hennessey,wls WAL,GK,30.0,27.0,41.0,1.0,1.0,7.0,2.0,38.2,0.3,-0.8,-0.03,226.0,587.0,38.5,554.0,92.0,68.2,47.3,227.0,92.1,65.2,435.0,31.0,7.1,22.0,0.81,13.4,Matches
2017-2018,EPL,Crystal Palace,Julián Speroni,ar ARG,GK,38.0,11.0,14.0,1.0,0.0,4.0,0.0,13.3,0.29,-0.7,-0.07,86.0,239.0,36.0,223.0,18.0,69.1,45.2,89.0,95.5,56.9,177.0,6.0,3.4,10.0,0.91,13.7,Matches
2017-2018,EPL,Crystal Palace,Squad Total,,,27.1,38.0,55.0,2.0,1.0,11.0,2.0,51.5,0.3,-1.5,-0.04,312.0,826.0,37.8,777.0,110.0,68.5,46.7,316.0,93.0,62.8,612.0,37.0,6.0,32.0,0.84,13.5,
2017-2018,EPL,Crystal Palace,Opponent Total,,,27.0,38.0,45.0,8.0,1.0,7.0,1.0,48.6,0.29,4.6,0.12,274.0,632.0,43.4,790.0,138.0,50.4,40.8,328.0,71.3,54.4,533.0,25.0,4.7,31.0,0.82,14.3,
2017-2018,EPL,Bournemouth,Asmir Begović,ba BIH,GK,30.0,38.0,61.0,2.0,2.0,7.0,1.0,54.8,0.31,-5.2,-0.14,223.0,647.0,34.5,832.0,215.0,45.7,38.9,328.0,81.4,55.5,611.0,35.0,5.7,18.0,0.47,10.2,Matches
2017-2018,EPL,Bournemouth,Squad Total,,,26.9,38.0,61.0,2.0,2.0,7.0,1.0,54.8,0.31,-5.2,-0.14,223.0,647.0,34.5,832.0,215.0,45.7,38.9,328.0,81.4,55.5,611.0,35.0,5.7,18.0,0.47,10.2,
2017-2018,EPL,Bournemouth,Opponent Total,,,26.9,38.0,45.0,3.0,1.0,10.0,0.0,40.5,0.25,-4.5,-0.12,320.0,830.0,38.6,968.0,108.0,61.8,44.5,273.0,85.0,57.7,545.0,24.0,4.4,29.0,0.76,13.7,
2017-2018,EPL,West Ham,Adrián,es ESP,GK,30.0,19.0,29.0,1.0,1.0,6.0,1.0,27.8,0.29,-0.2,-0.01,154.0,445.0,34.6,383.0,47.0,72.8,47.7,184.0,90.2,59.3,316.0,13.0,4.1,31.0,1.63,16.0,Matches
2017-2018,EPL,West Ham,Joe Hart,eng ENG,GK,30.0,19.0,39.0,4.0,0.0,4.0,0.0,32.8,0.32,-6.2,-0.33,175.0,469.0,37.3,441.0,52.0,72.1,49.1,155.0,97.4,67.0,284.0,4.0,1.4,11.0,0.58,13.0,Matches
2017-2018,EPL,West Ham,Squad Total,,,28.0,38.0,68.0,5.0,1.0,10.0,1.0,60.6,0.31,-6.4,-0.17,329.0,914.0,36.0,824.0,99.0,72.5,48.5,339.0,93.5,62.8,600.0,17.0,2.8,42.0,1.11,14.9,
2017-2018,EPL,West Ham,Opponent Total,,,26.8,38.0,48.0,2.0,1.0,7.0,0.0,42.0,0.3,-6.0,-0.16,251.0,638.0,39.3,851.0,153.0,51.8,41.3,249.0,79.1,56.4,562.0,30.0,5.3,50.0,1.32,14.8,
2017-2018,EPL,Watford,Heurelho Gomes,br BRA,GK,36.0,23.6,40.0,3.0,1.0,7.0,1.0,36.0,0.34,-3.0,-0.13,199.0,483.0,41.2,566.0,115.0,60.4,42.3,179.0,78.8,56.5,342.0,15.0,4.4,18.0,0.76,12.2,Matches
2017-2018,EPL,Watford,Orestis Karnezis,gr GRE,GK,32.0,14.4,24.0,3.0,0.0,2.0,0.0,19.8,0.31,-4.2,-0.29,121.0,321.0,37.7,323.0,31.0,76.2,48.2,81.0,92.6,58.0,182.0,10.0,5.5,9.0,0.63,13.4,Matches
2017-2018,EPL,Watford,Squad Total,,,27.9,38.0,64.0,6.0,1.0,9.0,1.0,55.9,0.33,-7.1,-0.19,320.0,804.0,39.8,889.0,146.0,66.1,44.4,260.0,83.1,56.9,524.0,25.0,4.8,27.0,0.71,12.6,
2017-2018,EPL,Watford,Opponent Total,,,26.9,38.0,44.0,3.0,0.0,6.0,2.0,43.6,0.3,1.6,0.04,275.0,717.0,38.4,910.0,155.0,51.2,40.3,300.0,83.7,58.0,560.0,46.0,8.2,31.0,0.82,12.0,
2017-2018,EPL,Brighton,Mathew Ryan,au AUS,GK,25.0,38.0,54.0,1.0,1.0,15.0,5.0,48.8,0.28,-0.2,-0.01,345.0,875.0,39.4,823.0,122.0,66.5,44.5,352.0,93.2,57.9,623.0,38.0,6.1,17.0,0.45,10.2,Matches
2017-2018,EPL,Brighton,Squad Total,,,27.5,38.0,54.0,1.0,1.0,15.0,5.0,48.8,0.28,-0.2,-0.01,345.0,875.0,39.4,823.0,122.0,66.5,44.5,352.0,93.2,57.9,623.0,38.0,6.1,17.0,0.45,10.2,
2017-2018,EPL,Brighton,Opponent Total,,,27.0,38.0,34.0,5.0,0.0,3.0,1.0,33.7,0.25,0.7,0.02,233.0,675.0,34.5,964.0,165.0,46.3,38.6,282.0,81.2,57.8,526.0,36.0,6.8,46.0,1.21,13.4,
2017-2018,EPL,Huddersfield,Jonas Lössl,dk DEN,GK,28.0,38.0,58.0,4.0,0.0,6.0,1.0,51.7,0.3,-5.3,-0.14,360.0,891.0,40.4,1083.0,103.0,59.4,45.2,304.0,81.6,57.9,493.0,31.0,6.3,55.0,1.45,14.4,Matches
2017-2018,EPL,Huddersfield,Squad Total,,,26.4,38.0,58.0,4.0,0.0,6.0,1.0,51.7,0.3,-5.3,-0.14,360.0,891.0,40.4,1083.0,103.0,59.4,44.2,304.0,81.6,57.9,493.0,31.0,6.3,55.0,1.45,14.4,
2017-2018,EPL,Huddersfield,Opponent Total,,,27.0,38.0,28.0,2.0,0.0,3.0,3.0,29.9,0.26,4.9,0.13,219.0,632.0,34.7,940.0,144.0,47.0,38.6,264.0,72.0,53.5,601.0,23.0,3.8,57.0,1.5,17.0,
2017-2018,EPL,Southampton,Fraser Forster,eng ENG,GK,29.0,20.0,30.0,0.0,1.0,2.0,0.0,25.8,0.26,-4.2,-0.21,101.0,343.0,29.4,360.0,62.0,59.7,43.4,146.0,87.7,59.1,258.0,10.0,3.9,14.0,0.7,14.1,Matches
2017-2018,EPL,Southampton,Alex McCarthy,eng ENG,GK,27.0,18.0,26.0,1.0,0.0,4.0,0.0,20.5,0.3,-5.5,-0.3,99.0,340.0,29.1,304.0,56.0,63.8,44.2,158.0,92.4,59.5,311.0,19.0,6.1,10.0,0.56,10.9,Matches
2017-2018,EPL,Southampton,Squad Total,,,26.2,38.0,56.0,1.0,1.0,6.0,0.0,46.3,0.28,-9.7,-0.25,200.0,683.0,29.3,664.0,118.0,61.6,43.7,304.0,90.1,59.3,569.0,29.0,5.1,24.0,0.63,12.1,
2017-2018,EPL,Southampton,Opponent Total,,,26.9,38.0,37.0,3.0,1.0,7.0,1.0,36.8,0.25,0.8,0.02,321.0,789.0,40.7,913.0,159.0,57.2,42.6,321.0,83.2,58.6,644.0,41.0,6.4,48.0,1.26,13.7,
2017-2018,EPL,Swansea City,Łukasz Fabiański,pl POL,GK,32.0,38.0,56.0,3.0,1.0,5.0,2.0,59.5,0.28,5.5,0.14,315.0,812.0,38.8,914.0,159.0,54.5,42.2,358.0,87.7,59.9,615.0,42.0,6.8,22.0,0.58,11.4,Matches
2017-2018,EPL,Swansea City,Squad Total,,,27.2,38.0,56.0,3.0,1.0,5.0,2.0,59.5,0.28,5.5,0.14,315.0,812.0,38.8,914.0,159.0,54.5,42.2,358.0,87.7,59.9,615.0,42.0,6.8,22.0,0.58,11.4,
2017-2018,EPL,Swansea City,Opponent Total,,,27.1,38.0,28.0,1.0,0.0,9.0,1.0,27.0,0.28,0.0,0.0,244.0,610.0,40.0,860.0,136.0,46.4,38.7,266.0,79.3,56.0,547.0,28.0,5.1,47.0,1.24,14.9,
2017-2018,EPL,Stoke City,Jack Butland,eng ENG,GK,24.0,35.0,61.0,5.0,0.0,8.0,2.0,61.7,0.29,2.7,0.08,377.0,969.0,38.9,934.0,103.0,71.1,48.4,338.0,90.2,62.4,609.0,25.0,4.1,39.0,1.11,13.7,Matches
2017-2018,EPL,Stoke City,Lee Grant,eng ENG,GK,34.0,3.0,7.0,0.0,0.0,1.0,0.0,4.8,0.32,-2.2,-0.74,25.0,60.0,41.7,69.0,14.0,59.4,42.9,23.0,82.6,58.0,39.0,1.0,2.6,4.0,1.33,18.6,Matches
2017-2018,EPL,Stoke City,Squad Total,,,27.5,38.0,68.0,5.0,0.0,9.0,2.0,66.5,0.29,0.5,0.01,402.0,1029.0,39.1,1003.0,117.0,70.3,43.0,361.0,89.8,62.2,648.0,26.0,4.0,43.0,1.13,14.0,
2017-2018,EPL,Stoke City,Opponent Total,,,26.9,38.0,35.0,0.0,1.0,7.0,1.0,35.2,0.26,1.2,0.03,220.0,591.0,37.2,845.0,162.0,46.0,37.9,273.0,74.0,53.2,465.0,37.0,8.0,29.0,0.76,13.4,
2017-2018,EPL,West Brom,Ben Foster,eng ENG,GK,34.0,37.0,55.0,1.0,2.0,7.0,2.0,45.7,0.3,-7.3,-0.2,346.0,904.0,38.3,811.0,70.0,71.6,48.5,338.0,95.6,65.7,592.0,37.0,6.3,27.0,0.73,12.8,Matches
2017-2018,EPL,West Brom,Boaz Myhill,wls WAL,GK,34.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.12,-0.7,-0.65,7.0,16.0,43.8,12.0,0.0,83.3,50.2,7.0,85.7,53.4,22.0,3.0,13.6,0.0,0.0,7.5,Matches
2017-2018,EPL,West Brom,Squad Total,,,29.1,38.0,56.0,1.0,2.0,7.0,2.0,46.0,0.3,-8.0,-0.21,353.0,920.0,38.4,823.0,70.0,71.8,48.6,345.0,95.4,65.4,614.0,40.0,6.5,27.0,0.71,12.7,
2017-2018,EPL,West Brom,Opponent Total,,,26.9,38.0,31.0,1.0,1.0,11.0,0.0,31.2,0.27,0.2,0.01,237.0,588.0,40.3,873.0,206.0,42.3,37.2,304.0,72.0,54.3,613.0,46.0,7.5,32.0,0.84,12.9,
2017-2018,Bundesliga,Bayern Munich,Sven Ulreich,de GER,GK,28.0,29.0,26.0,1.0,1.0,2.0,3.0,25.3,0.26,2.3,0.08,137.0,328.0,41.8,795.0,141.0,33.1,32.5,153.0,42.5,39.8,247.0,15.0,6.1,37.0,1.28,15.4,Matches
2017-2018,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,31.0,3.0,2.0,0.0,0.0,0.0,0.0,2.6,0.38,0.6,0.21,12.0,23.0,52.2,78.0,11.0,25.6,31.8,17.0,17.6,31.6,15.0,1.0,6.7,4.0,1.33,15.1,Matches
2017-2018,Bundesliga,Bayern Munich,Tom Starke,de GER,GK,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0.17,0.7,0.34,4.0,18.0,22.2,48.0,9.0,27.1,31.9,9.0,55.6,42.7,18.0,1.0,5.6,1.0,0.5,20.3,Matches
2017-2018,Bundesliga,Bayern Munich,Squad Total,,,27.4,34.0,28.0,1.0,1.0,2.0,3.0,28.7,0.26,3.7,0.11,153.0,369.0,41.5,921.0,161.0,32.1,32.4,179.0,40.8,39.2,280.0,17.0,6.1,42.0,1.24,15.5,
2017-2018,Bundesliga,Bayern Munich,Opponent Total,,,25.3,34.0,92.0,6.0,1.0,10.0,2.0,75.5,0.3,-14.5,-0.43,269.0,751.0,35.8,900.0,139.0,54.8,41.8,361.0,71.5,52.2,742.0,43.0,5.8,29.0,0.85,11.7,
2017-2018,Bundesliga,Schalke 04,Ralf Fährmann,de GER,GK,28.0,33.5,37.0,3.0,1.0,3.0,1.0,35.3,0.25,-0.7,-0.02,190.0,476.0,39.9,714.0,126.0,45.7,38.3,236.0,63.6,47.4,456.0,53.0,11.6,18.0,0.54,10.9,Matches
2017-2018,Bundesliga,Schalke 04,Alexander Nübel,de GER,GK,20.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.14,0.3,0.55,5.0,13.0,38.5,13.0,3.0,46.2,39.2,9.0,77.8,52.4,7.0,0.0,0.0,1.0,2.0,30.0,Matches
2017-2018,Bundesliga,Schalke 04,Squad Total,,,26.1,34.0,37.0,3.0,1.0,3.0,1.0,35.6,0.25,-0.4,-0.01,195.0,489.0,39.9,727.0,129.0,45.7,38.3,245.0,64.1,47.6,463.0,53.0,11.4,19.0,0.56,11.1,
2017-2018,Bundesliga,Schalke 04,Opponent Total,,,25.5,34.0,53.0,10.0,2.0,6.0,3.0,51.4,0.27,1.4,0.04,210.0,539.0,39.0,1198.0,178.0,33.0,33.3,219.0,65.8,49.7,456.0,31.0,6.8,29.0,0.85,13.7,
2017-2018,Bundesliga,Hoffenheim,Oliver Baumann,de GER,GK,27.0,34.0,48.0,3.0,1.0,9.0,2.0,42.6,0.27,-3.4,-0.1,223.0,590.0,37.8,1181.0,179.0,36.2,33.4,261.0,62.5,47.9,480.0,37.0,7.7,28.0,0.82,12.5,Matches
2017-2018,Bundesliga,Hoffenheim,Squad Total,,,25.0,34.0,48.0,3.0,1.0,9.0,2.0,42.6,0.27,-3.4,-0.1,223.0,590.0,37.8,1181.0,179.0,36.2,33.4,261.0,62.5,47.9,480.0,37.0,7.7,28.0,0.82,12.5,
2017-2018,Bundesliga,Hoffenheim,Opponent Total,,,25.7,34.0,66.0,4.0,2.0,7.0,2.0,52.6,0.28,-11.4,-0.34,203.0,447.0,45.4,974.0,191.0,32.5,33.4,285.0,45.6,42.9,468.0,42.0,9.0,47.0,1.38,13.8,
2017-2018,Bundesliga,Dortmund,Roman Bürki,ch SUI,GK,26.0,33.0,43.0,3.0,2.0,3.0,0.0,45.5,0.3,2.5,0.08,163.0,481.0,33.9,1050.0,185.0,31.7,32.4,237.0,62.4,49.7,404.0,40.0,9.9,38.0,1.15,14.0,Matches
2017-2018,Bundesliga,Dortmund,Roman Weidenfeller,de GER,GK,36.0,1.0,4.0,0.0,0.0,1.0,0.0,1.5,0.22,-2.5,-2.43,3.0,25.0,12.0,33.0,0.0,54.5,38.1,8.0,87.5,56.4,15.0,1.0,6.7,1.0,0.99,12.8,Matches
2017-2018,Bundesliga,Dortmund,Squad Total,,,25.9,34.0,47.0,3.0,2.0,4.0,0.0,47.0,0.3,0.0,0.0,166.0,506.0,32.8,1083.0,185.0,32.4,32.6,245.0,63.3,49.9,419.0,41.0,9.8,39.0,1.15,14.0,
2017-2018,Bundesliga,Dortmund,Opponent Total,,,25.6,34.0,64.0,3.0,0.0,5.0,2.0,62.4,0.34,0.4,0.01,244.0,665.0,36.7,870.0,148.0,53.9,40.4,262.0,74.8,54.3,453.0,27.0,6.0,28.0,0.82,13.2,
2017-2018,Bundesliga,Leverkusen,Bernd Leno,de GER,GK,25.0,33.0,40.0,5.0,2.0,3.0,0.0,35.2,0.28,-4.8,-0.15,194.0,536.0,36.2,995.0,134.0,39.5,35.0,250.0,57.2,46.1,366.0,29.0,7.9,34.0,1.03,14.4,Matches
2017-2018,Bundesliga,Leverkusen,Ramazan Özcan,at AUT,GK,33.0,1.0,4.0,0.0,0.0,0.0,0.0,4.1,0.39,0.1,0.09,3.0,10.0,30.0,33.0,6.0,30.3,31.0,6.0,0.0,27.0,14.0,0.0,0.0,1.0,1.0,17.0,Matches
